Doc ID,Reception ID,CPV CODE,Notice Status,Country ISO,TOWN ISO,Project Name,Title,Notice publication number,Publication date,OJ S issue number,Town/city of the buyer,Official name of the buyer,Original language,Country of the buyer,Type of buyer,EU institution/agency,Document sent,Type of contract,Type of procedure,Notice type,Regulation,Type of bid,Award criteria,Common procurement vocabulary (CPV),Place of performance (NUTS),Internet address (URL),Legal basis,Deadline Date,latitude,longitude,Document_id_1,Publication_Date_1,Deadline_1,Document_1,Authority_Name_1,Document_id_2,Publication_Date_2,Deadline_2,Document_2,Authority_Name_2,Document_id_3,Publication_Date_3,Deadline_3,Document_3,Authority_Name_3,Document_id_4,Publication_Date_4,Deadline_4,Document_4,Authority_Name_4,Document_id_5,Publication_Date_5,Deadline_5,Document_5,Authority_Name_5,Document_id_6,Publication_Date_6,Deadline_6,Document_6,Authority_Name_6,Document_id_7,Publication_Date_7,Deadline_7,Document_7,Authority_Name_7,Document_id_8,Publication_Date_8,Deadline_8,Document_8,Authority_Name_8,Document_id_9,Publication_Date_9,Deadline_9,Document_9,Authority_Name_9,Document_id_10,Publication_Date_10,Deadline_10,Document_10,Authority_Name_10,Document_id_11,Publication_Date_11,Deadline_11,Document_11,Authority_Name_11,Document_id_12,Publication_Date_12,Deadline_12,Document_12,Authority_Name_12,Document_id_13,Publication_Date_13,Deadline_13,Document_13,Authority_Name_13,Document_id_14,Publication_Date_14,Deadline_14,Document_14,Authority_Name_14,Document_id_15,Publication_Date_15,Deadline_15,Document_15,Authority_Name_15,Document_id_16,Publication_Date_16,Deadline_16,Document_16,Authority_Name_16
508248-2021,21-528566-001,33696000,Active,Slovakia,Košice,Reagents and contrast media,Slovakia-Košice: Reagents and contrast media,508248-2021,08/10/2021,196,KOŠICE,"Východoslovenský ústav srdcových a cievnych chorôb, a.s. (36601284)",SK,SK,6 - Body governed by public law,-,05/10/2021,2 - Supplies,1 - Open procedure,3 - Contract notice,4 - European Union,1 - Submission for all lots,1 - Lowest price,60000000 - Transport services (excl. Waste transport)33696000 - Reagents and contrast media,SK042,https://www.vusch.sk,Public procurement Directive 2014/24/EU,04/11/2021,48.7172272,21.2496774,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
508244-2021,21-528063-001,3310000016,Active,Slovakia,Banská Bystrica,Medical equipments,Slovakia-Banská Bystrica: Medical equipments,508244-2021,08/10/2021,196,BANSKÁ BYSTRICA,Fakultná nemocnica s poliklinikou F.D. Roosevelta Banská Bystrica (00165549),SK,SK,6 - Body governed by public law,-,05/10/2021,2 - Supplies,1 - Open procedure,3 - Contract notice,"5 - European Union, with participation of GPA countries",1 - Submission for all lots,1 - Lowest price,"50400000 - Repair and maintenance services of medical and precision equipment51410000 - Installation services of medical equipment60000000 - Transport services (excl. Waste transport)33112000 - Echo, ultrasound and doppler imaging equipment33100000 - Medical equipments",SK032,http://www.fnspfdr.sk,Public procurement Directive 2014/24/EU,09/11/2021,48.7384028,19.1573494,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
508242-2021,21-524235-001,03115000,Active,Slovakia,Veľké Ludince,Raw vegetable materials,Slovakia-Veľké Ludince: Raw vegetable materials,508242-2021,08/10/2021,196,VEĽKÉ LUDINCE,Herb-Pharma Corporation s.r.o. (36565016),SK,SK,8 - Other,-,04/10/2021,2 - Supplies,1 - Open procedure,3 - Contract notice,4 - European Union,1 - Submission for all lots,1 - Lowest price,03115000 - Raw vegetable materials24300000 - Basic inorganic and organic chemicals,SK023,https://www.uvo.gov.sk/vyhladavanie-profilov/zakazky/10861,Public procurement Directive 2014/24/EU,09/11/2021,47.9630579,18.5065438,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
508224-2021,21-527734-001,33100000,Active,Slovakia,Dunajská Streda,Medical equipments,Slovakia-Dunajská Streda: Medical equipments,508224-2021,08/10/2021,196,DUNAJSKÁ STREDA,"Nemocnica s poliklinikou Dunajská Streda, a.s. (44455356)",SK,SK,8 - Other,-,05/10/2021,2 - Supplies,1 - Open procedure,3 - Contract notice,4 - European Union,1 - Submission for all lots,1 - Lowest price,"33195000 - Patient-monitoring system33162000 - Operating theatre devices and instruments80511000 - Staff training services51410000 - Installation services of medical equipment60000000 - Transport services (excl. Waste transport)33112000 - Echo, ultrasound and doppler imaging equipment33100000 - Medical equipments",SK021,https://www.procare.sk/nemocnica/nemocnica-s-poliklinikou-dunajska-streda-s/,Public procurement Directive 2014/24/EU,05/11/2021,47.9893751,17.6202595,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
508223-2021,21-528032-001,15000000,Active,Slovakia,Košice,"Food, beverages, tobacco and related products","Slovakia-Košice: Food, beverages, tobacco and related products",508223-2021,08/10/2021,196,KOŠICE,"Univerzita Pavla Jozefa Šafárika v Košiciach, Rektorát (00397768)",SK,SK,6 - Body governed by public law,-,05/10/2021,2 - Supplies,1 - Open procedure,3 - Contract notice,"5 - European Union, with participation of GPA countries",1 - Submission for all lots,1 - Lowest price,"15894000 - Processed food products15850000 - Pasta products15894100 - Vegan packs15000000 - Food, beverages, tobacco and related products60000000 - Transport services (excl. Waste transport)15626000 - Custard powder15625000 - Semolina15612000 - Cereal or vegetable flour and related products15611000 - Husked rice15600000 - Grain mill products, starches and starch products15842000 - Chocolate and sugar confectionery",SK042,http://www.upjs.sk,Public procurement Directive 2014/24/EU,10/11/2021,48.7172272,21.2496774,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
507947-2021,21-525615-001,39162100,Active,Slovakia,Žilina,Teaching equipment,Slovakia-Žilina: Teaching equipment,507947-2021,08/10/2021,196,ŽILINA,Žilinský samosprávny kraj (37808427),SK,SK,6 - Body governed by public law,-,04/10/2021,2 - Supplies,1 - Open procedure,3 - Contract notice,4 - European Union,1 - Submission for all lots,1 - Lowest price,39162100 - Teaching equipment,SK031,http:///www.regionzilina.sk,Public procurement Directive 2014/24/EU,08/11/2021,49.2234674,18.7393139,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
507722-2021,21-528678-001,45000000,Active,Slovakia,Bratislava,Construction work,Slovakia-Bratislava: Construction work,507722-2021,08/10/2021,196,BRATISLAVA,"Národná diaľničná spoločnosť, a.s. (35919001)",SK,SK,6 - Body governed by public law,-,05/10/2021,1 - Works,2 - Restricted procedure,K - Modification of a contract/concession during its term,"5 - European Union, with participation of GPA countries",9 - Not applicable,9 - Not applicable,45000000 - Construction work45233110 - Motorway construction works,SK031,http://ndsas.sk,Public procurement Directive 2014/24/EU,,48.1516988,17.1093063,307937-2017,05/08/2017,05/09/2017,3 - Contract notice,"Národná diaľničná spoločnosť, a.s. (35919001)",337551-2017,29/08/2017,20/09/2017,2 - Additional information,"Národná diaľničná spoločnosť, a.s. (35919001)",402670-2018,15/09/2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
507721-2021,21-528426-001,45000000,Active,Slovakia,Bratislava,Construction work,Slovakia-Bratislava: Construction work,507721-2021,08/10/2021,196,BRATISLAVA,"Národná diaľničná spoločnosť, a.s. (35919001)",SK,SK,6 - Body governed by public law,-,05/10/2021,1 - Works,2 - Restricted procedure,K - Modification of a contract/concession during its term,"5 - European Union, with participation of GPA countries",9 - Not applicable,9 - Not applicable,"45233100 - Construction work for highways, roads45000000 - Construction work",SK031,http://ndsas.sk,Public procurement Directive 2014/24/EU,,48.1516988,17.1093063,409972-2014,03/12/2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
507720-2021,21-526231-001,45000000,Active,Slovakia,Bratislava,Construction work,Slovakia-Bratislava: Construction work,507720-2021,08/10/2021,196,BRATISLAVA,"Národná diaľničná spoločnosť, a.s. (35919001)",SK,SK,6 - Body governed by public law,-,04/10/2021,1 - Works,2 - Restricted procedure,K - Modification of a contract/concession during its term,"5 - European Union, with participation of GPA countries",9 - Not applicable,9 - Not applicable,"45233100 - Construction work for highways, roads45000000 - Construction work",SK031,http://ndsas.sk,Public procurement Directive 2014/24/EU,,48.1516988,17.1093063,409972-2014,03/12/2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
507719-2021,21-526344-001,45000000,Active,Slovakia,Bratislava,Construction work,Slovakia-Bratislava: Construction work,507719-2021,08/10/2021,196,BRATISLAVA,"Národná diaľničná spoločnosť, a.s. (35919001)",SK,SK,6 - Body governed by public law,-,04/10/2021,1 - Works,2 - Restricted procedure,K - Modification of a contract/concession during its term,"5 - European Union, with participation of GPA countries",9 - Not applicable,9 - Not applicable,"45233100 - Construction work for highways, roads45000000 - Construction work",SK031,http://ndsas.sk,Public procurement Directive 2014/24/EU,,48.1516988,17.1093063,409972-2014,03/12/2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
507718-2021,21-526025-001,45000000,Active,Slovakia,Bratislava,Construction work,Slovakia-Bratislava: Construction work,507718-2021,08/10/2021,196,BRATISLAVA,"Národná diaľničná spoločnosť, a.s. (35919001)",SK,SK,6 - Body governed by public law,-,04/10/2021,1 - Works,1 - Open procedure,K - Modification of a contract/concession during its term,"5 - European Union, with participation of GPA countries",9 - Not applicable,9 - Not applicable,"45233100 - Construction work for highways, roads45000000 - Construction work",SK031,http://ndsas.sk,Public procurement Directive 2014/24/EU,,48.1516988,17.1093063,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
507717-2021,21-525905-001,45000000,Active,Slovakia,Bratislava,Construction work,Slovakia-Bratislava: Construction work,507717-2021,08/10/2021,196,BRATISLAVA,"Národná diaľničná spoločnosť, a.s. (35919001)",SK,SK,6 - Body governed by public law,-,04/10/2021,1 - Works,1 - Open procedure,K - Modification of a contract/concession during its term,"5 - European Union, with participation of GPA countries",9 - Not applicable,9 - Not applicable,"45233100 - Construction work for highways, roads45000000 - Construction work",SK031,http://ndsas.sk,Public procurement Directive 2014/24/EU,,48.1516988,17.1093063,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
507716-2021,21-526374-001,45000000,Active,Slovakia,Bratislava,Construction work,Slovakia-Bratislava: Construction work,507716-2021,08/10/2021,196,BRATISLAVA,"Národná diaľničná spoločnosť, a.s. (35919001)",SK,SK,6 - Body governed by public law,-,04/10/2021,1 - Works,2 - Restricted procedure,K - Modification of a contract/concession during its term,"5 - European Union, with participation of GPA countries",9 - Not applicable,9 - Not applicable,"45233100 - Construction work for highways, roads45000000 - Construction work",SK031,http://ndsas.sk,Public procurement Directive 2014/24/EU,,48.1516988,17.1093063,409972-2014,03/12/2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
507627-2021,21-526535-001,45000000,Active,Slovakia,Ružomberok,Construction work,Slovakia-Ružomberok: Construction work,507627-2021,08/10/2021,196,RUŽOMBEROK,"CZT Ružomberok, s. r. o. (36820300)",SK,SK,8 - Other,-,04/10/2021,1 - Works,1 - Open procedure,2 - Additional information,"5 - European Union, with participation of GPA countries",1 - Submission for all lots,2 - The most economic tender,45212212 - Construction work for swimming pool45000000 - Construction work,SK031,www.cztrk.eu,Public procurement Directive 2014/24/EU,02/11/2021,49.0815718,19.3034168,493463-2021,01/10/2021,02/11/2021,3 - Contract notice,"CZT Ružomberok, s. r. o. (36820300)",507627-2021,08/10/2021,02/11/2021,2 - Additional information,"CZT Ružomberok, s. r. o. (36820300)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
507599-2021,21-526019-001,45247230,Active,Slovakia,Banská Štiavnica,Dyke construction work,Slovakia-Banská Štiavnica: Dyke construction work,507599-2021,08/10/2021,196,BANSKÁ ŠTIAVNICA,"SLOVENSKÝ VODOHOSPODÁRSKY PODNIK, štátny podnik (36022047)",SK,SK,6 - Body governed by public law,-,04/10/2021,1 - Works,1 - Open procedure,2 - Additional information,"5 - European Union, with participation of GPA countries",1 - Submission for all lots,1 - Lowest price,45262620 - Supporting walls45247230 - Dyke construction work,SKSK04,http://svp.sk,Public procurement Directive 2014/24/EU,04/11/2021,48.4580926,18.8988414,390052-2021,02/08/2021,04/11/2021,3 - Contract notice,"SLOVENSKÝ VODOHOSPODÁRSKY PODNIK, štátny podnik (36022047)",432702-2021,27/08/2021,30/09/2021,2 - Additional information,"SLOVENSKÝ VODOHOSPODÁRSKY PODNIK, štátny podnik (36022047)",490695-2021,29/09/2021,11/10/2021,2 - Additional information,"SLOVENSKÝ VODOHOSPODÁRSKY PODNIK, štátny podnik (36022047)",507599-2021,08/10/2021,04/11/2021,2 - Additional information,"SLOVENSKÝ VODOHOSPODÁRSKY PODNIK, štátny podnik (36022047)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
507598-2021,21-524748-001,45000000,Active,Slovakia,Bratislava,Construction work,Slovakia-Bratislava: Construction work,507598-2021,08/10/2021,196,BRATISLAVA,Slovenská správa ciest (00003328),SK,SK,6 - Body governed by public law,-,04/10/2021,1 - Works,1 - Open procedure,2 - Additional information,4 - European Union,1 - Submission for all lots,1 - Lowest price,"45000000 - Construction work45230000 - Construction work for pipelines, communication and power lines, for highways, roads, airfields and railways; flatwork45233142 - Road-repair works",SK031,http://www.ssc.sk,Public procurement Directive 2014/24/EU,19/10/2021,48.1516988,17.1093063,443646-2021,03/09/2021,19/10/2021,3 - Contract notice,Slovenská správa ciest (00003328),488223-2021,28/09/2021,08/10/2021,2 - Additional information,Slovenská správa ciest (00003328),507598-2021,08/10/2021,19/10/2021,2 - Additional information,Slovenská správa ciest (00003328),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
507570-2021,21-525274-001,45000000,Active,Slovakia,Žilina,Construction work,Slovakia-Žilina: Construction work,507570-2021,08/10/2021,196,ŽILINA,Žilinský samosprávny kraj (37808427),SK,SK,R - Regional or local Agency/Office,-,04/10/2021,1 - Works,1 - Open procedure,2 - Additional information,4 - European Union,1 - Submission for all lots,1 - Lowest price,45000000 - Construction work,SKSK031,http://www.zilinskazupa.sk,Public procurement Directive 2014/24/EU,15/10/2021,49.2234674,18.7393139,248778-2021,18/05/2021,29/10/2021,3 - Contract notice,Žilinský samosprávny kraj (37808427),291138-2021,11/06/2021,04/08/2021,2 - Additional information,Žilinský samosprávny kraj (37808427),385149-2021,30/07/2021,03/09/2021,2 - Additional information,Žilinský samosprávny kraj (37808427),422085-2021,20/08/2021,27/09/2021,2 - Additional information,Žilinský samosprávny kraj (37808427),444026-2021,03/09/2021,08/10/2021,2 - Additional information,Žilinský samosprávny kraj (37808427),507570-2021,08/10/2021,15/10/2021,2 - Additional information,Žilinský samosprávny kraj (37808427),521511-2021,15/10/2021,29/10/2021,2 - Additional information,Žilinský samosprávny kraj (37808427),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
507569-2021,21-524262-001,45212223,Active,Slovakia,Trenčín,Winter-sports facilities construction work,Slovakia-Trenčín: Winter-sports facilities construction work,507569-2021,08/10/2021,196,TRENČÍN,Trenčiansky samosprávny kraj (36126624),SK,SK,3 - Regional or local authority,-,04/10/2021,1 - Works,1 - Open procedure,2 - Additional information,4 - European Union,1 - Submission for all lots,2 - The most economic tender,45212223 - Winter-sports facilities construction work,SK022,http://www.tsk.sk,Public procurement Directive 2014/24/EU,18/10/2021,48.8923583,18.0393715,265884-2021,28/05/2021,08/11/2021,3 - Contract notice,Trenčiansky samosprávny kraj (36126624),372228-2021,23/07/2021,16/08/2021,2 - Additional information,Trenčiansky samosprávny kraj (36126624),403832-2021,09/08/2021,06/09/2021,2 - Additional information,Trenčiansky samosprávny kraj (36126624),444014-2021,03/09/2021,04/10/2021,2 - Additional information,Trenčiansky samosprávny kraj (36126624),480918-2021,24/09/2021,11/10/2021,2 - Additional information,Trenčiansky samosprávny kraj (36126624),507569-2021,08/10/2021,18/10/2021,2 - Additional information,Trenčiansky samosprávny kraj (36126624),521510-2021,15/10/2021,08/11/2021,2 - Additional information,Trenčiansky samosprávny kraj (36126624),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
507243-2021,21-528059-001,45233223,Active,Slovakia,Prešov,Carriageway resurfacing works,Slovakia-Prešov: Carriageway resurfacing works,507243-2021,08/10/2021,196,PREŠOV,Správa a údržba ciest Prešovského samosprávneho kraja (37936859),SK,SK,8 - Other,-,05/10/2021,1 - Works,1 - Open procedure,3 - Contract notice,4 - European Union,1 - Submission for all lots,1 - Lowest price,45233223 - Carriageway resurfacing works,SK04,http://sucpsk.sk/,Public procurement Directive 2014/24/EU,10/11/2021,48.9975724,21.2401811,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
506668-2021,21-522037-001,51143000,Active,Slovakia,Bratislava,Installation services of railway engines,Slovakia-Bratislava: Installation services of railway engines,506668-2021,06/10/2021,194,BRATISLAVA,"Železničná spoločnosť Slovensko, a.s. (35914939)",SK,SK,4 - Utilities entity,-,01/10/2021,4 - Services,1 - Open procedure,2 - Additional information,"5 - European Union, with participation of GPA countries",1 - Submission for all lots,2 - The most economic tender,51143000 - Installation services of railway engines,SK0SK041,http://www.slovakrail.sk,"Utilities (water, energy, transport and postal services) Directive 2014/25/EU",13/10/2021,48.1516988,17.1093063,405648-2021,09/08/2021,13/10/2021,3 - Contract notice,"Železničná spoločnosť Slovensko, a.s. (35914939)",459944-2021,10/09/2021,04/10/2021,2 - Additional information,"Železničná spoločnosť Slovensko, a.s. (35914939)",506668-2021,06/10/2021,13/10/2021,2 - Additional information,"Železničná spoločnosť Slovensko, a.s. (35914939)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
506654-2021,21-521310-001,50200000,Active,Slovakia,Bratislava,"Repair, maintenance and associated services related to aircraft, railways, roads and marine equipment","Slovakia-Bratislava: Repair, maintenance and associated services related to aircraft, railways, roads and marine equipment",506654-2021,06/10/2021,194,BRATISLAVA,"Železničná spoločnosť Slovensko, a.s. (35914939)",SK,SK,4 - Utilities entity,-,01/10/2021,4 - Services,1 - Open procedure,7 - Contract award notice,"5 - European Union, with participation of GPA countries",9 - Not applicable,2 - The most economic tender,"50222000 - Repair and maintenance services of rolling stock50200000 - Repair, maintenance and associated services related to aircraft, railways, roads and marine equipment50221100 - Repair and maintenance services of locomotive gearboxes50221300 - Repair and maintenance services of locomotive wheelsets",SK0,http://www.slovakrail.sk,"Utilities (water, energy, transport and postal services) Directive 2014/25/EU",,48.1516988,17.1093063,637812-2020,28/12/2020,23/03/2021,3 - Contract notice,"Železničná spoločnosť Slovensko, a.s. (35914939)",65424-2021,08/02/2021,01/03/2021,2 - Additional information,"Železničná spoločnosť Slovensko, a.s. (35914939)",75698-2021,12/02/2021,01/03/2021,2 - Additional information,"Železničná spoločnosť Slovensko, a.s. (35914939)",101190-2021,26/02/2021,23/03/2021,2 - Additional information,"Železničná spoločnosť Slovensko, a.s. (35914939)",498306-2021,01/10/2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
506610-2021,21-522016-001,90910000,Active,Slovakia,Bratislava,Cleaning services,Slovakia-Bratislava: Cleaning services,506610-2021,06/10/2021,194,BRATISLAVA,"Letisko M. R. Štefánika - Airport Bratislava, a.s. (BTS) (35884916)",SK,SK,4 - Utilities entity,-,01/10/2021,4 - Services,1 - Open procedure,3 - Contract notice,4 - European Union,1 - Submission for all lots,1 - Lowest price,90917000 - Cleaning services of transport equipment90919200 - Office cleaning services90910000 - Cleaning services90911200 - Building-cleaning services90611000 - Street-cleaning services,SK010,https://www.bts.aero/,"Utilities (water, energy, transport and postal services) Directive 2014/25/EU",16/11/2021,48.1516988,17.1093063,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
506569-2021,21-522834-001,09300000,Active,Slovakia,Košice,"Electricity, heating, solar and nuclear energy","Slovakia-Košice: Electricity, heating, solar and nuclear energy",506569-2021,06/10/2021,194,KOŠICE,"Letisko Košice - Airport Košice, a.s. (36579343)",SK,SK,4 - Utilities entity,-,01/10/2021,2 - Supplies,1 - Open procedure,2 - Additional information,4 - European Union,1 - Submission for all lots,1 - Lowest price,"09300000 - Electricity, heating, solar and nuclear energy09310000 - Electricity65300000 - Electricity distribution and related services",SKSK042,https://www.airportkosice.sk/,"Utilities (water, energy, transport and postal services) Directive 2014/25/EU",12/10/2021,48.7172272,21.2496774,459626-2021,10/09/2021,12/10/2021,3 - Contract notice,"Letisko Košice - Airport Košice, a.s. (36579343)",506569-2021,06/10/2021,12/10/2021,2 - Additional information,"Letisko Košice - Airport Košice, a.s. (36579343)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
506555-2021,21-522761-001,3498000008,Active,Slovakia,Bratislava,Transport tickets,Slovakia-Bratislava: Transport tickets,506555-2021,06/10/2021,194,BRATISLAVA,"Železničná spoločnosť Slovensko, a.s. (35914939)",SK,SK,4 - Utilities entity,-,01/10/2021,2 - Supplies,1 - Open procedure,7 - Contract award notice,"5 - European Union, with participation of GPA countries",9 - Not applicable,1 - Lowest price,34980000 - Transport tickets,SK042,http://www.slovakrail.sk,"Utilities (water, energy, transport and postal services) Directive 2014/25/EU",,48.1516988,17.1093063,91025-2021,22/02/2021,23/03/2021,3 - Contract notice,"Železničná spoločnosť Slovensko, a.s. (35914939)",506555-2021,06/10/2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
506395-2021,21-522587-001,72000000,Active,Slovakia,Bratislava,"IT services: consulting, software development, Internet and support","Slovakia-Bratislava: IT services: consulting, software development, Internet and support",506395-2021,06/10/2021,194,BRATISLAVA,Ministerstvo obrany Slovenskej republiky – Úrad pre investície a akvizície (30845572),SK,SK,1 - Ministry or any other national or federal authority,-,01/10/2021,4 - Services,1 - Open procedure,K - Modification of a contract/concession during its term,"5 - European Union, with participation of GPA countries",9 - Not applicable,9 - Not applicable,"72267000 - Software maintenance and repair services72000000 - IT services: consulting, software development, Internet and support",SK,http://www.mosr.sk,Public procurement Directive 2014/24/EU,,48.1516988,17.1093063,519195-2017,23/12/2017,02/02/2018,3 - Contract notice,Ministerstvo obrany Slovenskej republiky – Úrad pre investície a akvizície (30845572),313256-2018,19/07/2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
506322-2021,21-523626-001,72212100,Active,Slovakia,Bratislava,Industry specific software development services,Slovakia-Bratislava: Industry specific software development services,506322-2021,06/10/2021,194,BRATISLAVA,Národné centrum zdravotníckych informácií (00165387),SK,SK,6 - Body governed by public law,-,01/10/2021,4 - Services,2 - Restricted procedure,2 - Additional information,4 - European Union,1 - Submission for all lots,2 - The most economic tender,48211000 - Platform interconnectivity software package48100000 - Industry specific software package48170000 - Compliance software package48180000 - Medical software package72212180 - Medical software development services72267100 - Maintenance of information technology software72212100 - Industry specific software development services48614000 - Data-acquisition system48810000 - Information systems,SK,www.nczi.sk,Public procurement Directive 2014/24/EU,05/11/2021,48.1516988,17.1093063,387725-2021,30/07/2021,05/11/2021,3 - Contract notice,Národné centrum zdravotníckych informácií (00165387),421056-2021,18/08/2021,06/09/2021,2 - Additional information,Národné centrum zdravotníckych informácií (00165387),447329-2021,03/09/2021,16/09/2021,2 - Additional information,Národné centrum zdravotníckych informácií (00165387),474372-2021,20/09/2021,08/10/2021,2 - Additional information,Národné centrum zdravotníckych informácií (00165387),506322-2021,06/10/2021,05/11/2021,2 - Additional information,Národné centrum zdravotníckych informácií (00165387),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
505826-2021,21-523320-001,90513000,Active,Slovakia,Senica,Non-hazardous refuse and waste treatment and disposal services,Slovakia-Senica: Non-hazardous refuse and waste treatment and disposal services,505826-2021,06/10/2021,194,SENICA,Mesto Senica (00309974),SK,SK,R - Regional or local Agency/Office,-,01/10/2021,4 - Services,1 - Open procedure,3 - Contract notice,4 - European Union,1 - Submission for all lots,1 - Lowest price,90513000 - Non-hazardous refuse and waste treatment and disposal services90513100 - Household-refuse disposal services90513200 - Urban solid-refuse disposal services,SKSK02,https://senica.sk/,Public procurement Directive 2014/24/EU,02/11/2021,48.6787557,17.3661529,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
505822-2021,21-522488-001,60440000,Active,Slovakia,Bratislava,Aerial and related services,Slovakia-Bratislava: Aerial and related services,505822-2021,06/10/2021,194,BRATISLAVA,Ministerstvo vnútra Slovenskej republiky (00151866),SK,SK,1 - Ministry or any other national or federal authority,-,01/10/2021,4 - Services,1 - Open procedure,3 - Contract notice,"5 - European Union, with participation of GPA countries",1 - Submission for all lots,1 - Lowest price,63522000 - Ship brokerage services63520000 - Transport agency services60440000 - Aerial and related services,SK01,http://www.minv.sk/,Public procurement Directive 2014/24/EU,02/11/2021,48.1516988,17.1093063,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
505821-2021,21-521862-001,71600000,Active,Slovakia,Bratislava,"Technical testing, analysis and consultancy services","Slovakia-Bratislava: Technical testing, analysis and consultancy services",505821-2021,06/10/2021,194,BRATISLAVA,Ministerstvo vnútra Slovenskej republiky (00151866),SK,SK,1 - Ministry or any other national or federal authority,-,01/10/2021,4 - Services,1 - Open procedure,3 - Contract notice,"5 - European Union, with participation of GPA countries",1 - Submission for all lots,1 - Lowest price,"71600000 - Technical testing, analysis and consultancy services",SKSK01SK021SK022SK023SK031SK032SK041SK042,http://www.minv.sk/,Public procurement Directive 2014/24/EU,04/11/2021,48.1516988,17.1093063,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
