Doc ID,Reception ID,CPV CODE,Notice Status,Country ISO,TOWN ISO,Project Name,Title,Notice publication number,Publication date,OJ S issue number,Town/city of the buyer,Official name of the buyer,Original language,Country of the buyer,Type of buyer,EU institution/agency,Document sent,Type of contract,Type of procedure,Notice type,Regulation,Type of bid,Award criteria,Common procurement vocabulary (CPV),Place of performance (NUTS),Internet address (URL),Legal basis,Deadline Date,latitude,longitude,"(0, 'Document_id_1')",Publication_Date_1,Deadline_1,Document_1,Authority_Name_1,"(0, 'Document_id_2')",Publication_Date_2,Deadline_2,Document_2,Authority_Name_2,"(0, 'Document_id_3')",Publication_Date_3,Deadline_3,Description,Postal Code,Email,Amount,Currency,Og Notice No,Document_3,Authority_Name_3,"(0, 'Document_id_4')",Publication_Date_4,Deadline_4,Document_4,Authority_Name_4,"(0, 'Document_id_5')",Publication_Date_5,Deadline_5
472379-2021,21-484628-001,98000000,Active,United Kingdom,Ripley,"Other community, social and personal services","United Kingdom-Ripley: Other community, social and personal services",472379-2021,17/09/2021,181,RIPLEY,The Police and Crime Commissioner for Derbyshire (n/a),EN,UK,6 - Body governed by public law,-,13/09/2021,4 - Services,1 - Open procedure,7 - Contract award notice,Z - Not specified,9 - Not applicable,2 - The most economic tender,"98000000 - Other community, social and personal services",UK,https://uk.eu-supply.com/,Public procurement Directive 2014/24/EU,,53.0488393,-1.4302374270653362,541887-2020,11/11/2020,08/12/2020,3 - Contract notice,The Police and Crime Commissioner for Derbyshire (n/a),472379-2021,17/09/2021,,,,,,,,,,,,,,,,,,,,,,
472378-2021,21-484565-001,72000000,Active,United Kingdom,Ripley,"IT services: consulting, software development, Internet and support","United Kingdom-Ripley: IT services: consulting, software development, Internet and support",472378-2021,17/09/2021,181,RIPLEY,The Police and Crime Commissioner for Derbyshire (n/a),EN,UK,6 - Body governed by public law,-,13/09/2021,4 - Services,1 - Open procedure,7 - Contract award notice,Z - Not specified,9 - Not applicable,2 - The most economic tender,"48000000 - Software package and information systems72500000 - Computer-related services72000000 - IT services: consulting, software development, Internet and support30230000 - Computer-related equipment",UK,https://uk.eu-supply.com/,Public procurement Directive 2014/24/EU,,53.0488393,-1.4302374270653362,431091-2020,14/09/2020,15/10/2020,3 - Contract notice,The Police and Crime Commissioner for Derbyshire (n/a),472378-2021,17/09/2021,,,,,,,"The Provision of IT Hardware, Software and Associated Consumables","Police Headquarters,",kirsty.holding.16487@derbyshire.pnn.police.uk,15000000.00,GBP,GBP,,,,,,,,,,
472377-2021,21-484552-001,71000000,Active,United Kingdom,Belfast,"Architectural, construction, engineering and inspection services","United Kingdom-Belfast: Architectural, construction, engineering and inspection services",472377-2021,17/09/2021,181,BELFAST,Education Authority NI,EN,UK,3 - Regional or local authority,-,13/09/2021,4 - Services,2 - Restricted procedure,7 - Contract award notice,Z - Not specified,9 - Not applicable,2 - The most economic tender,"71324000 - Quantity surveying services71312000 - Structural engineering consultancy services71321000 - Engineering design services for mechanical and electrical installations for buildings71200000 - Architectural and related services71541000 - Construction project management services71000000 - Architectural, construction, engineering and inspection services71220000 - Architectural design services",UKN06,https://etendersni.gov.uk/epps,Public procurement Directive 2014/24/EU,,54.5964411,-5.9302761,428639-2020,11/09/2020,13/10/2020,3 - Contract notice,Education Authority NI,472377-2021,17/09/2021,,,,,,,"Appointment of a Project Manager led Integrated Consultant Team for the delivery of the new Cliftonville Integrated PS, Belfast. Approximate services value is in the cost range £325,000.00 and £375,000.00. The Integrated Consultant Team to provide full professional services for RIBA Plan of Work 2013 Stages 0-7 to include project management, provision of architectural, quantity surveying, structural, services engineering, civil and structural services for delivery of the proposed School Enhancement Programme (SEP) project.",BT1 2NQ,Connor.Odonnell@eani.org.uk,269800.00,GBP,GBP,,,,,,,,,,
472376-2021,21-484516-001,71000000,Active,United Kingdom,Belfast,"Architectural, construction, engineering and inspection services","United Kingdom-Belfast: Architectural, construction, engineering and inspection services",472376-2021,17/09/2021,181,BELFAST,Education Authority NI,EN,UK,3 - Regional or local authority,-,13/09/2021,4 - Services,2 - Restricted procedure,7 - Contract award notice,Z - Not specified,9 - Not applicable,2 - The most economic tender,"71324000 - Quantity surveying services71312000 - Structural engineering consultancy services71321000 - Engineering design services for mechanical and electrical installations for buildings71200000 - Architectural and related services71541000 - Construction project management services71000000 - Architectural, construction, engineering and inspection services71220000 - Architectural design services",UKN,https://etendersni.gov.uk/epps,Public procurement Directive 2014/24/EU,,54.5964411,-5.9302761,428645-2020,11/09/2020,13/10/2020,3 - Contract notice,Education Authority NI,472376-2021,17/09/2021,,,,,,,"Appointment of a Project Manager led Integrated Consultant Team for the delivery of the new Killinchy PS, Newtownards, Co Down,. Approximate services value is in the cost range £325,000.00 and £375,000.00. The Integrated Consultant Team to provide full professional services for RIBA Plan of Work 2013 Stages 0-7 to include project management, provision of architectural, quantity surveying, structural, services engineering, civil and structural services for delivery of the proposed School Enhancement Programme (SEP) project.",BT1 2NQ,connor.mcdonnell@eani.org.uk,269800.00,GBP,GBP,,,,,,,,,,
472375-2021,21-483437-001,79993000,Active,United Kingdom,Edinburgh,Building and facilities management services,United Kingdom-Edinburgh: Building and facilities management services,472375-2021,17/09/2021,181,EDINBURGH,Scottish Government,EN,UK,1 - Ministry or any other national or federal authority,-,13/09/2021,4 - Services,B - Competitive procedure with negotiation,7 - Contract award notice,Z - Not specified,9 - Not applicable,2 - The most economic tender,"45452000 - Exterior cleaning work for buildings79992000 - Reception services79993100 - Facilities management services44613800 - Containers for waste material48420000 - Facilities management software package and software package suite77211500 - Tree-maintenance services90919100 - Cleaning services of office equipment90919200 - Office cleaning services39151000 - Miscellaneous furniture39150000 - Miscellaneous furniture and equipment90922000 - Pest-control services90911000 - Accommodation, building and window cleaning services90900000 - Cleaning and sanitation services34928480 - Waste and rubbish containers and bins90700000 - Environmental services90513000 - Non-hazardous refuse and waste treatment and disposal services90711100 - Risk or hazard assessment other than for construction72317000 - Data storage services90500000 - Refuse and waste related services72514000 - Computer facilities management services71317200 - Health and safety services50800000 - Miscellaneous repair and maintenance services72514100 - Facilities management services involving computer operation50700000 - Repair and maintenance services of building installations72514200 - Facilities management services for computer systems development50710000 - Repair and maintenance services of electrical and mechanical building installations71324000 - Quantity surveying services90511400 - Paper collecting services50610000 - Repair and maintenance services of security equipment71315300 - Building surveying services72514300 - Facilities management services for computer systems maintenance50532000 - Repair and maintenance services of electrical machinery, apparatus and associated equipment50413200 - Repair and maintenance services of firefighting equipment50324200 - Preventive maintenance services50750000 - Lift-maintenance services77314000 - Grounds maintenance services72253000 - Helpdesk and support services45259000 - Repair and maintenance of plant51122000 - Installation services of flagpoles79710000 - Security services77310000 - Planting and maintenance services of green areas79993000 - Building and facilities management services",UKM,http://www.scotland.gov.uk,Public procurement Directive 2014/24/EU,,55.9519018,-3.1904199,237494-2018,02/06/2018,,,,,,,,,,,,"The Scottish Ministers have awarded a contract to a single service provider for the provision of Facilities Management (FM) Services. The service will include hard and soft FM services and related projects. The maximum contract duration is 10 years (initial duration 7 years) with the option to extend for a period of 24 months, and a further period of 12 months).Other parties to this contract include:The Scottish Government, including Science and Advice for Scottish Agriculture (SASA)Student Award Agency for Scotland (SASA);Accountancy in Bankruptcy;Education Scotland;Transport Scotland; andSocial Security Scotland Agency.",EH6 6QQ,michael.brydon@gov.scot,400000000,GBP,GBP,,,,,,,,,,
472373-2021,21-484681-001,33159000,Active,United Kingdom,Londonderry,Clinical chemistry system,United Kingdom-Londonderry: Clinical chemistry system,472373-2021,17/09/2021,181,LONDONDERRY,BSO Procurement & Logistic Service,EN,UK,8 - Other,-,13/09/2021,2 - Supplies,1 - Open procedure,K - Modification of a contract/concession during its term,4 - European Union,9 - Not applicable,9 - Not applicable,33159000 - Clinical chemistry system,UKN,https://etenders.gov.uk/epps,Public procurement Directive 2014/24/EU,,54.9978678,-7.3213056,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
472372-2021,21-486276-001,38510000,Active,United Kingdom,Sheffield,Microscopes,United Kingdom-Sheffield: Microscopes,472372-2021,17/09/2021,181,SHEFFIELD,Sheffield Hallam University (02380120)),EN,UK,6 - Body governed by public law,-,14/09/2021,2 - Supplies,1 - Open procedure,7 - Contract award notice,Z - Not specified,9 - Not applicable,2 - The most economic tender,38510000 - Microscopes38512000 - Ion and molecular microscopes,UKE32,https://www.shu.ac.uk/,Public procurement Directive 2014/24/EU,,53.3806626,-1.4702278,129680-2021,15/03/2021,19/04/2021,3 - Contract notice,Sheffield Hallam University,472372-2021,17/09/2021,,,,,,,,,,,,,,,,,,,,,,
472371-2021,21-486359-001,38430000,Active,United Kingdom,Leeds,Detection and analysis apparatus,United Kingdom-Leeds: Detection and analysis apparatus,472371-2021,17/09/2021,181,LEEDS,University of Leeds (05575019),EN,UK,6 - Body governed by public law,-,14/09/2021,2 - Supplies,B - Competitive procedure with negotiation,7 - Contract award notice,Z - Not specified,9 - Not applicable,1 - Lowest price,38430000 - Detection and analysis apparatus,UKE42,www.leeds.ac.uk,Public procurement Directive 2014/24/EU,,53.7974185,-1.5437941,528522-2020,04/11/2020,30/11/2020,3 - Contract notice,Liverpool Heart and Chest Hospital NHS Foundation Trust,472371-2021,17/09/2021,,,,,,,Notice of award of a Direct or Hybrid Pixel Detector for Electron Energy Loss Spectroscopy applications in a 30-100kV Scanning Transmission Electron Microscope.,LS2 9JZ,s.j.greaves@leeds.ac.uk,179600,GBP,GBP,,,,,,,,,,
472370-2021,21-485496-001,33140000,Active,United Kingdom,Glasgow,Medical consumables,United Kingdom-Glasgow: Medical consumables,472370-2021,17/09/2021,181,GLASGOW,NHS Greater Glasgow and Clyde,EN,UK,6 - Body governed by public law,-,14/09/2021,2 - Supplies,1 - Open procedure,7 - Contract award notice,Z - Not specified,9 - Not applicable,2 - The most economic tender,33140000 - Medical consumables,UKM82,http://www.nhsggc.org.uk/,Public procurement Directive 2014/24/EU,,55.8609825,-4.2488787,23406-2020,17/01/2020,20/02/2020,3 - Contract notice,NHS Greater Glasgow and Clyde,472370-2021,17/09/2021,,,,,,,"Spinal cord stimulation (known as SCS or neuromodulation) is a treatment modality used for chronic pain. The implantable stimulator emits mild electric current to block nerve impulses in the spine. Many chronic conditions are treated using a spinal cord stimulator implant. The aim is to meet the Spinal Cord Stimulation Service clinical requirements, whilst obtaining best possible contractual arrangements. There will be 8 Lots which will be awarded on a single supplier basis per Lot.",G4 0SF,kevin.mcguigan@ggc.scot.nhs.uk,15000000,GBP,GBP,,,,,,,,,,
472369-2021,21-486268-001,4523310001,Active,United Kingdom,Liverpool,"Construction work for highways, roads","United Kingdom-Liverpool: Construction work for highways, roads",472369-2021,17/09/2021,181,LIVERPOOL,Liverpool City Council,EN,UK,3 - Regional or local authority,-,14/09/2021,1 - Works,1 - Open procedure,7 - Contract award notice,Z - Not specified,9 - Not applicable,2 - The most economic tender,"45233100 - Construction work for highways, roads34923000 - Road traffic-control equipment",UKD72,http://www.liverpool.gov.uk,Public procurement Directive 2014/24/EU,,53.4071991,-2.99168,589509-2020,07/12/2020,08/01/2021,3 - Contract notice,Liverpool City Council,472369-2021,17/09/2021,,,,,,,Hydraulic Bollards,L3 1DS,neil.gaskell2@liverpool.gov.uk,1453910.68,GBP,GBP,,,,,,,,,,
467401-2021,21-481198-001,72000000,Active,United Kingdom,Belfast,"IT services: consulting, software development, Internet and support","United Kingdom-Belfast: IT services: consulting, software development, Internet and support",467401-2021,15/09/2021,179,BELFAST,Police Service of Northern Ireland,EN,UK,6 - Body governed by public law,-,10/09/2021,4 - Services,T - Negotiated procedure without a call for competition,V - Voluntary ex ante transparency notice,Z - Not specified,9 - Not applicable,Z - Not specified,"72000000 - IT services: consulting, software development, Internet and support",UKN,https://etendersni.gov.uk/epps,Public procurement Directive 2014/24/EU,,54.5964411,-5.9302761,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
467400-2021,21-482353-001,50720000,Active,United Kingdom,Leicester,Repair and maintenance services of central heating,United Kingdom-Leicester: Repair and maintenance services of central heating,467400-2021,15/09/2021,179,LEICESTER,Stonewater Limited (03193203),EN,UK,6 - Body governed by public law,-,10/09/2021,4 - Services,B - Competitive procedure with negotiation,7 - Contract award notice,Z - Not specified,9 - Not applicable,2 - The most economic tender,45331100 - Central-heating installation work50720000 - Repair and maintenance services of central heating,UKEUKFUKGUKH,https://www.stonewater.org,Public procurement Directive 2014/24/EU,,52.6361398,-1.1330789,162587-2019,08/04/2019,03/05/2019,3 - Contract notice,Stonewater Ltd,467400-2021,15/09/2021,,,,,,,"The contract will be for the provision of a 24 hour, 365 days a year cover for all non-electrical heating systems (domestic and commercial), including emergency and out of hours. The contract will also allow the client the option to include other planned and reactive works, etc. subject to the performance of the appointed service provider. Please see the procurement documentation for the full scope of service for this contract.",LE8 6EP,procurement@effefftee.co.uk,68000000,GBP,GBP,,,,,,,,,,
467399-2021,21-482206-001,50531200,Active,United Kingdom,Dumfries,Gas appliance maintenance services,United Kingdom-Dumfries: Gas appliance maintenance services,467399-2021,15/09/2021,179,DUMFRIES,Loreburn Housing Association,EN,UK,8 - Other,-,10/09/2021,4 - Services,1 - Open procedure,7 - Contract award notice,Z - Not specified,9 - Not applicable,2 - The most economic tender,50531200 - Gas appliance maintenance services,UKM92,http://www.loreburn.org.uk/,Public procurement Directive 2014/24/EU,,55.069836,-3.6092292,586614-2019,11/12/2019,13/01/2020,3 - Contract notice,Loreburn Housing Association,467399-2021,15/09/2021,,,,,,,,,,,,,,,,,,,,,,
467398-2021,21-481561-001,85000000,Active,United Kingdom,Chelmsford,Health and social work services,United Kingdom-Chelmsford: Health and social work services,467398-2021,15/09/2021,179,CHELMSFORD,Essex County Council (10573704),EN,UK,3 - Regional or local authority,-,10/09/2021,4 - Services,1 - Open procedure,7 - Contract award notice,Z - Not specified,9 - Not applicable,2 - The most economic tender,85000000 - Health and social work services,UKH3UKH34UKH35UKH36UKH37,http://www.essex.gov.uk,Public procurement Directive 2014/24/EU,,51.7345398,0.4724553,486728-2020,14/10/2020,24/05/2021,3 - Contract notice,Essex County Council,574070-2020,27/11/2020,24/05/2021,2 - Additional information,Essex County Council,467398-2021,15/09/2021,,Essex County Council is seeking to procure a new Live at Home framework for the provision of domiciliary care services for adults (18+) across Essex (excluding Southend-on-Sea and Thurrock) for a period of 4 years.,CM1 1QH,liveathome@essex.gov.uk,400000000.00,GBP,GBP,,,,,,,,,,
467397-2021,21-481709-001,64000000,Active,United Kingdom,Glasgow,Postal and telecommunications services,United Kingdom-Glasgow: Postal and telecommunications services,467397-2021,15/09/2021,179,GLASGOW,Scottish Government,EN,UK,1 - Ministry or any other national or federal authority,-,10/09/2021,4 - Services,1 - Open procedure,7 - Contract award notice,Z - Not specified,9 - Not applicable,2 - The most economic tender,64113000 - Postal services related to parcels64112000 - Postal services related to letters64000000 - Postal and telecommunications services,UKM,http://www.scotland.gov.uk,Public procurement Directive 2014/24/EU,,55.8609825,-4.2488787,535127-2019,12/11/2019,,,,,,,,,,,,"The Scottish Ministers wish to award a Framework Agreement for the provision of Postal Services for users throughout the public sector in Scotland. The Framework Agreement will comprise of 2 Lots.  This contract award notice relates specifically to Lot 1 - Single Supplier One Stop Shop (Physical, Hybrid, Scheduled/Regular Bulk Mail (Print & Post) and Digital Mail Services) -Physical Mail Services - The collection and delivery of mail from Framework Public Bodies throughout Scotland, including the Highlands and Islands.Off Site Hybrid Mail - Provision of an off site hybrid mail service via a web-based  or cloud hosted solution allowing a fully digital process up to the point of print;Scheduled/Regular Bulk mail -  The production and delivery of planned or bulk mailings;Digital e Communications - Provision of additional and alternative options to physical print of mail items, including but not limited to SMS (text messaging) communications, Email communications, secure web-based communications.The Lot 2 contract award notice was published on 02/08/2021.",EC4Y 0HQ,Kathleen.Cowan@gov.scot,32000000,GBP,GBP,,,,,,,,,,
467396-2021,21-481306-001,37415000,Active,United Kingdom,Ballymena,Athletics equipment,United Kingdom-Ballymena: Athletics equipment,467396-2021,15/09/2021,179,BALLYMENA,Education Authority NI,EN,UK,3 - Regional or local authority,-,10/09/2021,2 - Supplies,1 - Open procedure,K - Modification of a contract/concession during its term,"5 - European Union, with participation of GPA countries",9 - Not applicable,9 - Not applicable,37422000 - Gymnastic bars or beams37421000 - Gymnasium mats37453000 - Track sports equipment37420000 - Gymnasium equipment37452000 - Racquet and court sports equipment37453100 - Javelins37452210 - Basketball complete game systems37452100 - Badminton equipment37453200 - Jumping bars37450000 - Field and court sports equipment37452200 - Basketballs37453300 - Discus37451200 - Field hockey equipment37452300 - Floor hockey protective equipment37453400 - Shotputs37451300 - Footballs37453500 - Vaulting poles37453600 - Hurdles37453700 - Batons37452700 - Tennis equipment37451700 - Soccer balls37452900 - Volleyballs37416000 - Leisure equipment37426000 - Balance equipment37415000 - Athletics equipment,UKUKN,https://etendersni.gov.uk/epps,Public procurement Directive 2014/24/EU,,54.8662966,-6.2760159,583327-2019,10/12/2019,,,,,,,,,,,,,,,,,,,,,,,,,,,
467395-2021,21-482134-001,44810000,Active,United Kingdom,Greater London,Paints,United Kingdom-Greater London: Paints,467395-2021,15/09/2021,179,GREATER LONDON,Metropolitan Police Service (n/a),EN,UK,6 - Body governed by public law,-,10/09/2021,2 - Supplies,1 - Open procedure,7 - Contract award notice,Z - Not specified,9 - Not applicable,2 - The most economic tender,"44800000 - Paints, varnishes and mastics44810000 - Paints",UKI,https://uk.eu-supply.com/app/rfq/rwlentrance_s.asp?PID=35240&B=BLUELIGHT,Public procurement Directive 2014/24/EU,,51.4893335,-0.14405508452768728,615535-2020,18/12/2020,18/01/2021,3 - Contract notice,Metropolitan Police Service (n/a),467395-2021,15/09/2021,,,,,,,These Vehicle Paints and Associated Consumables are required for maintenance and repair of MPS Vehicles and MPS Marine equipment (boats) and must be available from stock on 24 hour next-day delivery. The MPS may award to 1 supplier.,SW6 1TR,Mark.Holmes2@met.police.uk,220000.00,GBP,GBP,,,,,,,,,,
464899-2021,21-479647-001,45251000,Active,United Kingdom,London,Construction works for power plants and heating plants,United Kingdom-London: Construction works for power plants and heating plants,464899-2021,14/09/2021,178,LONDON,Associated British Ports,EN,UK,4 - Utilities entity,-,09/09/2021,1 - Works,4 - Negotiated procedure,7 - Contract award notice,Z - Not specified,9 - Not applicable,2 - The most economic tender,45251000 - Construction works for power plants and heating plants,UK,https://in-tendhost.co.uk/abp/aspx/Tenders/Current,"Utilities (water, energy, transport and postal services) Directive 2014/25/EU",,51.5073219,-0.1276474,547588-2020,13/11/2020,09/12/2020,3 - Contract notice,Associated British Ports,464899-2021,14/09/2021,,,,,,,,,,,,,,,,,,,,,,
464898-2021,21-478620-001,79411000,Active,United Kingdom,Belfast,General management consultancy services,United Kingdom-Belfast: General management consultancy services,464898-2021,14/09/2021,178,BELFAST,DfE Tourism Northern Ireland,EN,UK,6 - Body governed by public law,-,09/09/2021,4 - Services,V - Contract award without prior publication,V - Voluntary ex ante transparency notice,Z - Not specified,9 - Not applicable,2 - The most economic tender,79411000 - General management consultancy services,UKN0,https://tourismni.com/,Public procurement Directive 2014/24/EU,,54.5964411,-5.9302761,527973-2018,30/11/2018,11/01/2019,3 - Contract notice,Northern Ireland Tourist Board T/A Tourism Northern Ireland,88605-2019,25/02/2019,,,,,,,,,,,,,,,,,,,,,,
464896-2021,21-478601-001,60000000,Active,United Kingdom,Stafford,Transport services (excl. Waste transport),United Kingdom-Stafford: Transport services (excl. Waste transport),464896-2021,14/09/2021,178,STAFFORD,"Staffordshire County Council. Staffordshire Place 2, Tipping Street, Stafford ST16 2DH",EN,UK,3 - Regional or local authority,-,09/09/2021,4 - Services,2 - Restricted procedure,7 - Contract award notice,Z - Not specified,9 - Not applicable,1 - Lowest price,60170000 - Hire of passenger transport vehicles with driver60000000 - Transport services (excl. Waste transport)60120000 - Taxi services60130000 - Special-purpose road passenger-transport services60140000 - Non-scheduled passenger transport,UK,http://www.staffordshire.gov.uk/business/procurement,Public procurement Directive 2014/24/EU,,52.8063157,-2.1163818,209196-2019,06/05/2019,31/08/2039,Y - Dynamic purchasing system,Staffordshire County Council,572010-2019,03/12/2019,,,,,,,A Dynamic Purchasing System to deploy the supply of Home to School Transport provision in Staffordshire for pupils in Mainstream Education and Special Needs Education. This DPS may also include transport for Adult service users not limited to but including disabilities and mental health. Their may be a requirement for Passenger Assistants to assists on the SEN Transport dependant on the needs of the service user. This DPS is run as an electronic process using the Authority’s eSourcing solution (Staffordshire County Council E tender Portal). This procurement follows DPS procedures as set out in the Public Contracts Regulations 2015.,ST16 2DH,sharon.bowers@staffordshire.gov.uk,402575.57,GBP,GBP,,,,,,,,,,
464895-2021,21-479641-001,60100000,Active,United Kingdom,London,Road transport services,United Kingdom-London: Road transport services,464895-2021,14/09/2021,178,LONDON,Transport for London,EN,UK,6 - Body governed by public law,-,09/09/2021,4 - Services,C - Competitive dialogue,7 - Contract award notice,Z - Not specified,9 - Not applicable,2 - The most economic tender,72212218 - License management software development services48170000 - Compliance software package72212170 - Compliance software development services63712000 - Support services for road transport32427000 - Network system71631200 - Technical automobile inspection services60100000 - Road transport services60120000 - Taxi services48218000 - License management software package60130000 - Special-purpose road passenger-transport services72222300 - Information technology services22454000 - Driving licences75100000 - Administration services,UK,https://tfl.gov.uk,Public procurement Directive 2014/24/EU,,51.5073219,-0.1276474,448083-2019,24/09/2019,,,,,,,,,,,,"Transport for London (TfL) license and regulate all of London's taxi and private hire drivers, vehicles and operators. The Mayor’s Transport Strategy (MTS) requires that TfL has a strong licensing function in London, a safe and reliable taxi and private hire trade and it uses technology to serve our customers.To ensure services provided to the taxi and private hire trade are delivered in the most effective and efficient manner, TfL are seeking to procure the services of supplier(s) to deliver and support the activity of vehicle licensing and inspection and an end to end technology system.The procurement was divided into 2 lots and conducted via the competitive dialogue procedure. There was an option to submit a combined response for both lots.Lot 1: A Technology System and Customer Access Portal for Taxi and Private Hire Services;Lot 2: Vehicle Licensing, Inspection and Contact Centre Services.",SE1 8NJ,JESSDENTON@TFL.GOV.UK,103000000,GBP,GBP,,,,,,,,,,
464894-2021,21-479546-001,66520000,Active,United Kingdom,Leicester,Pension services,United Kingdom-Leicester: Pension services,464894-2021,14/09/2021,178,LEICESTER,Leicestershire County Council,EN,UK,3 - Regional or local authority,-,09/09/2021,4 - Services,1 - Open procedure,7 - Contract award notice,Z - Not specified,9 - Not applicable,2 - The most economic tender,66520000 - Pension services,UKF22,https://www.eastmidstenders.org/index.html,Public procurement Directive 2014/24/EU,,52.6361398,-1.1330789,626808-2020,23/12/2020,26/02/2021,3 - Contract notice,Leicestershire County Council,88999-2021,19/02/2021,26/02/2021,2 - Additional information,Leicestershire County Council,464894-2021,14/09/2021,,"Pensions consultancy services for actuarial, benefit, governance and other related services",LE3 8RA,satish.parekh@leics.gov.uk,240450,GBP,GBP,,,,,,,,,,
464893-2021,21-478374-001,90500000,Active,United Kingdom,Warrington,Refuse and waste related services,United Kingdom-Warrington: Refuse and waste related services,464893-2021,14/09/2021,178,WARRINGTON,Warrington Borough Council,EN,UK,3 - Regional or local authority,-,09/09/2021,4 - Services,B - Competitive procedure with negotiation,7 - Contract award notice,Z - Not specified,9 - Not applicable,2 - The most economic tender,90500000 - Refuse and waste related services,UKD61,http://www.warrington.gov.uk/,Public procurement Directive 2014/24/EU,,53.3899497,-2.5943178,626824-2020,23/12/2020,01/02/2021,3 - Contract notice,Warrington Borough Council,638162-2020,28/12/2020,01/02/2021,2 - Additional information,Warrington Borough Council,464893-2021,14/09/2021,,"Warrington Borough Council (WBC) has a statutory duty to provide household waste recycling facilities (from now on referred to as “Community Recycling Centres”) for its residents to dispose of their household waste which is unable to be collected as part of the fortnightly kerbside collection schemes.The primary purpose of a CRC is to provide facilities where residents can deposit waste materials for recovery by re-use, recycling or composting. The secondary purpose of a CRC is to provide facilities where residents can deposit waste materials for their subsequent disposal.The service requirement is as follows:Management and operations of CRC Sites – including staffing, all equipment, waste segregation, facilities management, asset management, maximising recycling and diversion from disposal operations.Haulage of Waste to final disposal/treatment outlets – each individual waste stream will need to be transported to a waste treatment/recovery facility as determined by the contractor.  The Council will consider the option of providing the treatment/recovery of residual and organic waste streams as part of the Councils Residual and Organic Waste contracts.Recovery/Treatment/Disposal of waste streams collected at the CRC sites – each individual waste stream collected at the CRCs will need to be consigned to a recovery, treatment or where required disposal facility.",WA1 1UH,gyeomans@warrington.gov.uk,11000000.00,GBP,GBP,,,,,,,,,,
464892-2021,21-478108-001,79315000,Active,United Kingdom,Glasgow,Social research services,United Kingdom-Glasgow: Social research services,464892-2021,14/09/2021,178,GLASGOW,Scottish Government (42-404-7426),EN,UK,1 - Ministry or any other national or federal authority,-,09/09/2021,4 - Services,1 - Open procedure,7 - Contract award notice,Z - Not specified,9 - Not applicable,2 - The most economic tender,79315000 - Social research services,UK,http://www.scotland.gov.uk,Public procurement Directive 2014/24/EU,,55.8609825,-4.2488787,311571-2021,21/06/2021,30/07/2021,3 - Contract notice,Scottish Government,335520-2021,02/07/2021,30/07/2021,2 - Additional information,Scottish Government,349617-2021,09/07/2021,30/07/2021,"The aims of the evaluation are to:- Evaluate the New Scots strategy and approach, including whether the New Scots outcomes, objectives and actions are being met.- Assess the implementation of the AMIF-funded projects, including the extent to   which they are achieving their intended outcomes.-  Support funded projects to develop their own self-evaluation, and support sharing of learning between funded projects.-  Generate insight, learning and recommendations from the projects and New Scots in relation to good practice, widening impact and innovation, including exploration of what has worked well and what hasn’t.-  Present and communicate findings and outputs in ways that are accessible and useful to a wide range of audiences, including for policymakers and practitioners.The outputs of this work, alongside the other research and learning activity being carried out, will form part of a series of outputs from the AMIF-funded programme which are intended to contribute to a resource or ‘exemplar’ that will be useful to others working in this field, and which can be referred to as an example international good practice in refugee integration. It will also contribute to the existing evidence-base on refugee integration and help to guide the future New Scots approach in Scotland.A range of potential questions for the evaluation have been identified, both in relation to the evaluation of the New Scots strategy (Table 1) and the evaluation of the AMIF-funded projects (Table 2), which provide a starting point for types of questions the evaluation should seek to answer. The questions draw on the evaluation questions set out in the MEL framework and cover three key areas: process, outcomes, and learning.It should be noted that the questions identified do not need to be taken as a definitive list, but should instead act as a guide to the sort of questions we would anticipate the evaluation to address in order to meet the overarching aims outlined above. Tenderers are free to modify, add to, or replace questions in the proposed list, providing that a clear rationale is given, and it is apparent how the alternatives will address the evaluation aims.",G2 8EA,Gary.Crombie@gov.scot,147701.00,GBP,GBP,2 - Additional information,Scottish Government,464892-2021,14/09/2021,,,,,,
464891-2021,21-479380-001,38436200,Active,United Kingdom,Cardiff,Rotating evaporators,United Kingdom-Cardiff: Rotating evaporators,464891-2021,14/09/2021,178,CARDIFF,Cardiff University,EN,UK,6 - Body governed by public law,-,09/09/2021,2 - Supplies,1 - Open procedure,7 - Contract award notice,Z - Not specified,9 - Not applicable,1 - Lowest price,38436200 - Rotating evaporators,UKL22,http://www.cardiff.ac.uk/business/why-work-with-us/for-suppliers,Public procurement Directive 2014/24/EU,,51.4816546,-3.1791934,329878-2021,30/06/2021,26/07/2021,3 - Contract notice,Cardiff University,464891-2021,14/09/2021,,,,,,,,,,,,,,,,,,,,,,
